title,summary
Birds of Prey (2020 film),"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) is a 2020 American superhero film distributed by Warner Bros. Pictures and based on the DC Comics team Birds of Prey. It is the eighth installment in the DC Extended Universe and a follow-up to Suicide Squad (2016). It was directed by Cathy Yan and written by Christina Hodson, and it stars Margot Robbie, Mary Elizabeth Winstead, Jurnee Smollett-Bell, Rosie Perez, Chris Messina, Ella Jay Basco, Ali Wong, and Ewan McGregor. The film follows Harley Quinn as she joins forces with Helena Bertinelli, Dinah Lance, and Renee Montoya to save Cassandra Cain from Gotham City crime lord Black Mask.
Robbie, who also served as producer, pitched the idea for Birds of Prey to Warner Bros. in 2015. The film was announced in May 2016, with Hodson being hired to write the script that November, followed by Yan signing on to direct in April 2018. The majority of the cast and crew were confirmed by December 2018. Principal photography lasted from January to April 2019 in Downtown Los Angeles, parts of the Arts District, Los Angeles, and soundstages at Warner Bros. Studios in Burbank, California. Additional filming took place in September 2019.
Birds of Prey is the first DCEU film and the second DC Films production to be rated R by the Motion Picture Association of America. The film had its world premiere in Mexico City on January 25, 2020, and was theatrically released in the United States in IMAX, Dolby Cinema, and 4DX on February 7, 2020. It grossed $201 million worldwide, making it the fourth highest-grossing film of 2020 but short of its reported break even point of $250–300 million. The film received praise from critics for its visual style, Yan's direction, and the performances of Robbie and McGregor, but criticism for Hodson's screenplay."
Saw II,"Saw II is a 2005 horror film directed by Darren Lynn Bousman and written by Leigh Whannell and Bousman. It is the second installment in the Saw film series. The film stars Donnie Wahlberg, Franky G, Glenn Plummer, Beverley Mitchell, Dina Meyer, Emmanuelle Vaugier, Erik Knudsen, Shawnee Smith, and Tobin Bell.
The film features Jigsaw being apprehended by the police, but trapping the arresting officer in one of his own games while showing another game of eight people — including the officer's son — in progress on TV monitors at another location. It also explores some of John Kramer's backstory, providing a partial explanation of his reason for becoming Jigsaw.
After the financial success of 2004's Saw, a sequel was immediately green-lit. Leigh Whannell and James Wan were busy preparing for their next film and were unable to write or direct. Bousman wrote a script called The Desperate before Saw was released and was looking for a producer but many studios rejected it. Gregg Hoffman received the script and showed it to his partners Mark Burg and Oren Koules. It was decided that, with some changes, it could be made into Saw II. Whannell became available to provide rewrites of the script. The film was given a larger budget and was shot from May to June 2005 in Toronto.
Saw II was released in the United States on October 28, 2005, by Lions Gate Films. Despite mixed reviews from critics, the film was a financial success. It opened with $31.9 million and grossed $88 million in the United States and Canada. It has remained the highest grossing Saw film in those countries. Bell was nominated for ""Best Villain"" at the 2006 MTV Movie Awards for his role as Jigsaw in the film. Saw II was released to DVD on February 14, 2006, and topped charts its first week, selling more than 3 million units. At the time, it was the fastest-selling theatrical DVD in Lions Gate's history. A sequel, titled Saw III, was released in 2006."
Sabrina (1954 film),"Sabrina (Sabrina Fair/La Vie en Rose in the United Kingdom) is a 1954 American romantic comedy-drama film directed by Billy Wilder, adapted for the screen by Wilder, Samuel A. Taylor, and Ernest Lehman from Taylor's 1953 play Sabrina Fair. The picture stars Humphrey Bogart, Audrey Hepburn and William Holden. This was Wilder's last film released by Paramount Pictures, ending a 12-year business relationship with Wilder and the company. The film was selected for preservation in the United States National Film Registry by the Library of Congress in 2002."
Home Alone,"Home Alone is a 1990 American comedy film written and produced by John Hughes and directed by Chris Columbus. It stars Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, and Catherine O'Hara. The film follows an eight-year-old boy (Culkin), who must defend his home from two burglars (Pesci and Stern) after his family mistakenly leaves him behind on their Christmas vacation. It was filmed between February and May 1990, in an array of locations. The film was originally meant to be a production from Warner Bros., but was changed to a 20th Century Fox production when Hughes exceeded a $10 million budget that he promised for the film with Warner Bros.
Home Alone premiered on November 10, 1990, in Chicago, and was released wider in the United States on November 16, 1990. With a total gross of $476.7 million, it was the highest-grossing live-action comedy ever, and held the record until it was overtaken by The Hangover Part II in 2011. The film received two Golden Globe Award nominations for Best Motion Picture – Musical or Comedy and Best Actor in a Motion Picture – Musical or Comedy for Culkin, as well as two Academy Award nominations for Best Original Score, which was composed by John Williams, and Best Original Song for ""Somewhere in My Memory"". Despite receiving mixed reviews from critics on its initial release, Home Alone has since been hailed as a holiday classic among audiences and is often regarded as one of the best Christmas films ever made.
Home Alone spawned a successful film franchise that started with the 1992 sequel Home Alone 2: Lost in New York, which is the only Home Alone sequel to have most of the original cast reprising their roles."
The Arrival (1991 film),"The Arrival is a 1991 American science fiction horror film directed by David Schmoeller. The film is about an alien who after a crash landing, enters the body of the elderly and near death Max Page (Robert Sampson). Page's health returns to him but he soon finds that he has a thirst for the estrogen-laced blood of ovulating women."
The Imitation Game,"The Imitation Game is a 2014 American historical drama film directed by Morten Tyldum and written by Graham Moore, based on the 1983 biography Alan Turing: The Enigma by Andrew Hodges. The title of the film quotes the name of the game Alan Turing proposed for answering the question ""Can machines think?"", in his 1950 seminal paper ""Computing Machinery and Intelligence"". It stars Benedict Cumberbatch as British cryptanalyst Alan Turing, who decrypted German intelligence messages for the British government during the Second World War. Keira Knightley, Matthew Goode, Rory Kinnear, Charles Dance, and Mark Strong also star.
The screenplay topped the annual Black List for best unproduced Hollywood scripts in 2011. The Weinstein Company acquired the film for $7 million in February 2014, the highest amount ever paid for U.S. distribution rights at the European Film Market. It was released theatrically in the United States on 28 November 2014.
The Imitation Game grossed over $233 million worldwide on a $14 million production budget, making it the highest-grossing independent film of 2014. It received eight nominations at the 87th Academy Awards, winning for Best Adapted Screenplay, five nominations in the 72nd Golden Globe Awards, and three nominations at the 21st Screen Actors Guild Awards. It also received nine BAFTA nominations and won the People's Choice Award at the 39th Toronto International Film Festival.
The film was criticised by some for its inaccurate portrayal of historical events and for downplaying Turing's homosexuality. However, the LGBT civil rights advocacy organisation the Human Rights Campaign honoured it for bringing Turing's legacy to a wider audience."
The Lost World: Jurassic Park,"The Lost World: Jurassic Park is a 1997 American science fiction adventure film and the second installment in the Jurassic Park film series. A sequel to 1993's Jurassic Park and loosely based on Michael Crichton's 1995 novel The Lost World, the film was directed by Steven Spielberg and written by David Koepp. The film stars Jeff Goldblum, returning as the eccentric chaos theorist and mathematician Ian Malcolm, as well as Julianne Moore, Pete Postlethwaite, Vince Vaughn, Vanessa Lee Chester, and Arliss Howard. Four years after the events of the original film, John Hammond (Richard Attenborough) sends a team, led by Malcolm, to Isla Sorna, the second island Hammond's company InGen used to make the dinosaurs, to study the animals while coming into conflict with a team led by InGen to bring some of the dinosaurs back onto homeland.
After the original novel's release and the first film's success, fans pressured Crichton for a sequel. Following the book's publication in 1995, production began on a film sequel. Filming took place from September to December 1996, primarily in California, with a shoot in Kauai, Hawaii, where the first film was shot. The Lost World's plot and imagery is substantially darker than Jurassic Park. It makes more extensive use of computer-generated imagery to depict the dinosaurs, along with life-sized animatronics.
Released on May 23, 1997, the film received mixed reviews from critics, who praised the visuals and action sequences, but criticized the writing, character development, and the third act of the Tyrannosaurus attacking San Diego. The film was a box office success, grossing over $618 million worldwide, becoming the second-highest-grossing film of 1997. It earned an Academy Award nomination for Best Visual Effects. A sequel, Jurassic Park III, was released on July 18, 2001."
Charlie and the Chocolate Factory (film),"Charlie and the Chocolate Factory is a 2005 musical fantasy film directed by Tim Burton and written by John August, based on the 1964 British novel of the same name by Roald Dahl. The film stars Johnny Depp as Willy Wonka and Freddie Highmore as Charlie Bucket, alongside David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, and Christopher Lee. The storyline follows Charlie as he wins a contest along with four other children and is led by Wonka on a tour of his chocolate factory.
Development for a second adaptation of Charlie and the Chocolate Factory (filmed previously as Willy Wonka & the Chocolate Factory in 1971) began in 1991, which resulted in Warner Bros. providing the Dahl Estate with total artistic control. Prior to Burton's involvement, directors such as Gary Ross, Rob Minkoff, Martin Scorsese, and Tom Shadyac had been involved, while actors Bill Murray, Nicolas Cage, Jim Carrey, Michael Keaton, Brad Pitt, Will Smith, Adam Sandler, and many others, were either in discussion with or considered by the studio to play Wonka.
Burton immediately brought regular collaborators Depp and Danny Elfman aboard. Charlie and the Chocolate Factory represents the first time since The Nightmare Before Christmas (which was produced by Burton) that Elfman contributed to a film score using written songs and his vocals. Filming took place from June to December 2004 at Pinewood Studios in the United Kingdom. Charlie and the Chocolate Factory was released to positive critical reviews and was a box office success, grossing $475 million worldwide."
Dr. Strangelove,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, more commonly known simply as Dr. Strangelove, is a 1964 black comedy film that satirizes the Cold War fears of a nuclear conflict between the Soviet Union and the United States. The film was directed, produced, and co-written by Stanley Kubrick and stars Peter Sellers, George C. Scott, Sterling Hayden and Slim Pickens. Production took place in the United Kingdom. The film is loosely based on Peter George's thriller novel Red Alert (1958).
The story concerns an unhinged United States Air Force general who orders a first strike nuclear attack on the Soviet Union. It separately follows the President of the United States, his advisors, the Joint Chiefs of Staff and a Royal Air Force (RAF) exchange officer as they attempt to prevent the crew of a B-52 plane (who were ordered by the general) from nuking the Soviets and starting an atomic holocaust.
The film is often considered one of the best comedies ever made, and, not so frequently, one of the greatest films of all time. In 1998, the American Film Institute ranked it twenty-sixth in its list of the best American movies (in the 2007 edition, the film ranked thirty-ninth), and in 2000, it was listed as number three on its list of the funniest American films. In 1989, the United States Library of Congress included Dr. Strangelove as one of the first twenty-five films selected for preservation in the National Film Registry for being ""culturally, historically, or aesthetically significant""."
Humpday,"Humpday is a 2009 American comedy-drama film directed, produced, and written by Lynn Shelton and starring Mark Duplass, Joshua Leonard, and Alycia Delmore. It premiered at the 2009 Sundance Film Festival. International distribution rights were purchased by Magnolia Pictures for a mid-six figure sum. The film opened in New York City on a limited released on July 10, 2009. Much of the dialogue for the film was improvised."
Guess What's Coming to Dinner?,"Guess What's Coming to Dinner?    ""Guess What's Coming to Dinner?"" is the sevent...
Guess What's Coming to Dinner?    ""Guess What's Coming to Dinner?"" is the sevent...
dtype: object"
Heat (1995 film),"Heat is a 1995 American crime film written, produced, and directed by Michael Mann, starring Al Pacino, Robert De Niro, and Val Kilmer. De Niro plays Neil McCauley, a seasoned professional at robberies, and Pacino plays Lt. Vincent Hanna, an LAPD robbery-homicide detective tracking down Neil's crew after a botched heist leaves three security guards dead. The story is based on the former Chicago police officer Chuck Adamson's pursuit during the 1960s of a criminal named McCauley, after whom De Niro's character is named. Heat is a remake by Mann of an unproduced television series he had worked on, the pilot of which was released as the TV movie L.A. Takedown in 1989.
Heat was a critical and commercial success, grossing $67 million in the United States and a total $187 million worldwide against a $60 million budget."
Stranger than Fiction (2006 film),"Stranger than Fiction is a 2006 American fantasy comedy-drama film directed by Marc Forster, produced by Lindsay Doran, and written by Zach Helm. The film stars Will Ferrell, Maggie Gyllenhaal, Dustin Hoffman, Queen Latifah, and Emma Thompson. The main plot follows Harold Crick (Ferrell), an IRS worker who begins hearing a disembodied voice narrating his life as it happens – seemingly the text of a novel in which it is stated that he, the main character, will soon die – and he frantically seeks to somehow prevent that ending. The film was shot on location in Chicago, and has been praised for its innovative, intelligent story and fine performances. Ferrell, who came to prominence playing brash comedic parts, garnered particular attention for offering a restrained performance in his first starring dramatic role.
Stranger than Fiction was released by Columbia Pictures on November 10, 2006. Upon release, the film received positive reviews mainly for its themes, humor, and performances."
That Thing You Do!,"That Thing You Do!    That Thing You Do! is a 1996 American music co...
That Thing You Do!    That Thing You Do! is a 1996 American music co...
dtype: object"
Casablanca (film),"Casablanca is a 1942 American romantic drama film directed by Michael Curtiz based on Murray Burnett and Joan Alison's unproduced stage play Everybody Comes to Rick's. The film stars Humphrey Bogart, Ingrid Bergman, and Paul Henreid; it also features Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, and Dooley Wilson. Set during World War II, it focuses on an American expatriate who must choose between his love for a woman and helping her and her husband, a Czech resistance leader, escape from the Vichy-controlled city of Casablanca to continue his fight against the Germans.
Warner Bros. story editor Irene Diamond convinced producer Hal B. Wallis to purchase the film rights to the play in January 1942. Brothers Julius and Philip G. Epstein were initially assigned to write the script. However, despite studio resistance, they left to work on Frank Capra's Why We Fight series early in 1942. Howard Koch was assigned to the screenplay until the Epsteins returned a month later. Principal photography began on May 25, 1942, ending on August 3; the film was shot entirely at Warner Bros. Studios in Burbank, California with the exception of one sequence at Van Nuys Airport in Van Nuys, Los Angeles.
Although Casablanca was an A-list film with established stars and first-rate writers, no one involved with its production expected it to be anything other than one of the hundreds of ordinary pictures produced by Hollywood that year. Casablanca was rushed into release to take advantage of the publicity from the Allied invasion of North Africa a few weeks earlier. It had its world premiere on November 26, 1942, in New York City and was released nationally in the United States on January 23, 1943. The film was a solid if unspectacular success in its initial run.
Exceeding expectations, Casablanca went on to win the Academy Award for Best Picture, while Curtiz was selected as Best Director and the Epsteins and Koch were honored for writing the Best Adapted Screenplay. Its reputation gradually improved, to the point that its lead characters, memorable lines, and pervasive theme song have all become iconic and it consistently ranks near the top of lists of the greatest films in history."
Star Wars prequel trilogy,"The Star Wars prequel trilogy is a series of epic space-opera films written and directed by George Lucas. It was produced by Lucasfilm Ltd. and distributed by 20th Century Fox. The trilogy was released from 1999 to 2005 and is a prequel to the original Star Wars trilogy (1977–83). It consists of Star Wars: Episode I – The Phantom Menace (1999), Episode II – Attack of the Clones (2002), and Episode III – Revenge of the Sith (2005). It is the second of the three trilogies in the Skywalker saga in terms of release order, but chronologically is the first act.
The trilogy follows the training of the powerful youth Anakin Skywalker (the father of the original trilogy protagonists Luke Skywalker and Leia Organa) as a Jedi under the tutelage of Jedi Masters Obi-Wan Kenobi and Yoda, his fall to the dark side of the Force and birth as Darth Vader. The trilogy also depicts the corruption of the Galactic Republic, the annihilation of the Jedi Order, and rise of the Empire under Sith Lord Darth Sidious. The first two films received mixed reviews, while the third received positive reviews."
Ed Wood (film),"Ed Wood is a 1994 American biographical dramedy film directed and produced by Tim Burton and starring Johnny Depp as the eponymous cult filmmaker. The film concerns the period in Wood's life when he made his best-known films as well as his relationship with actor Bela Lugosi, played by Martin Landau. Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, Lisa Marie, and Bill Murray are among the supporting cast.
The film was conceived by writers Scott Alexander and Larry Karaszewski when they were students at the USC School of Cinematic Arts. Irritated at being thought of solely as writers for family films with their work on Problem Child and its sequel, Alexander and Karaszewski struck a deal with Burton and Denise Di Novi to produce Ed Wood. Initially, Michael Lehmann was chosen to direct the project, but due to scheduling conflicts with his work on the film Airheads, he had to vacate the director's position, which was taken over by Burton.
Ed Wood was originally in development at Columbia Pictures, but the studio put the film in ""turnaround"" over Burton's decision to shoot in black-and-white. Ed Wood was taken to Walt Disney Studios, which produced the film through its Touchstone Pictures label. The film was well received, but was a box office bomb, returning only $5.9 million against an $18 million budget. It won two Academy Awards: Best Supporting Actor for Landau and Best Makeup for Rick Baker (who designed Landau's prosthetic makeup), Ve Neill and Yolanda Toussieng."
Batman Returns,"Batman Returns is a 1992 American superhero film directed by Tim Burton and produced by Denise Di Novi and Burton, based on the DC Comics character Batman. The sequel to the 1989 film Batman, it is the second installment of Warner Bros. initial Batman film series, and stars Michael Keaton as Bruce Wayne / Batman, alongside Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough, Pat Hingle, and Michael Murphy. In Batman Returns, Batman must prevent the Penguin from killing all of Gotham City's firstborn sons, while dealing with Catwoman, who seeks vengeance against Max Shreck, a corrupt tycoon who seeks to bring Gotham City under his control.
Burton originally did not want to direct another Batman film. Warner Bros. developed a script with Sam Hamm which had the Penguin and Catwoman going after hidden treasure. Burton agreed to return after they granted him more creative control and replaced Hamm with Daniel Waters. Wesley Strick was later chosen to do an uncredited rewrite shortly before filming. This included normalizing dialogue, fleshing out the Penguin's motivations and master plan and removing scenes due to budget concerns. Strick continued working as the on-set writer through filming. Annette Bening was originally cast as Catwoman but became pregnant and was replaced with Pfeiffer.
Batman Returns was released on June 19, 1992. It grossed $266.8 million worldwide on a budget of $80 million and received positive reviews. Critics praised its action sequences, performances, Danny Elfman's score, effects, and villains, although its dark tone was criticized. The film was nominated for two Academy Awards: Best Visual Effects and Best Makeup, as well as two BAFTA awards. A sequel, Batman Forever, was released in 1995, with Val Kilmer replacing Keaton as Batman."
Corpse Bride,"Corpse Bride    Corpse Bride (also known as Tim Burton's Corps...
Corpse Bride    Corpse Bride (also known as Tim Burton's Corps...
dtype: object"
